Periodo, Provincia, URL

2010, Navarra, "https://opendata.aemet.es/opendata/sh/daea4950"
2010, Ourense, "https://opendata.aemet.es/opendata/sh/a0f1d6c5"
2010, Palencia, "https://opendata.aemet.es/opendata/sh/e60309dd"
2010, Las Palmas,
2010, Pontevedra,
2010, La Rioja,
2010, Salamanca,
2010, Santa Cruz de Tenerife,
2010, Segovia,
2010, Sevilla,
2010, Soria,
2010, Tarragona,
2010, Teruel, 
2010, Toledo,
2010, Valencia,
2010, Valladolid,
2010, Zamora,
2010, Zaragoza,

2011, Navarra, "https://opendata.aemet.es/opendata/sh/b34746dd"
2011, Ourense, "https://opendata.aemet.es/opendata/sh/d5ab23fc"
2011, Palencia, "https://opendata.aemet.es/opendata/sh/adbfd6ed"
2011, Las Palmas,
2011, Pontevedra,
2011, La Rioja,
2011, Salamanca,
2011, Santa Cruz de Tenerife,
2011, Segovia,
2011, Sevilla,
2011, Soria,
2011, Tarragona,
2011, Teruel, 
2011, Toledo,
2011, Valencia,
2011, Valladolid,
2011, Zamora,
2011, Zaragoza,

2012, Navarra, "https://opendata.aemet.es/opendata/sh/ecf0a916"
2012, Ourense, "https://opendata.aemet.es/opendata/sh/f8df6b21"
2012, Palencia, "https://opendata.aemet.es/opendata/sh/32ec70ce"
2012, Las Palmas,
2012, Pontevedra,
2012, La Rioja,
2012, Salamanca,
2012, Santa Cruz de Tenerife,
2012, Segovia,
2012, Sevilla,
2012, Soria,
2012, Tarragona,
2012, Teruel, 
2012, Toledo,
2012, Valencia,
2012, Valladolid,
2012, Zamora,
2012, Zaragoza,

2013, Navarra, "https://opendata.aemet.es/opendata/sh/94625d4c"
2013, Ourense, "https://opendata.aemet.es/opendata/sh/d491dfd8"
2013, Palencia, "https://opendata.aemet.es/opendata/sh/020cc183"
2013, Las Palmas,
2013, Pontevedra,
2013, La Rioja,
2013, Salamanca,
2013, Santa Cruz de Tenerife,
2013, Segovia,
2013, Sevilla,
2013, Soria,
2013, Tarragona,
2013, Teruel, 
2013, Toledo,
2013, Valencia,
2013, Valladolid,
2013, Zamora,
2013, Zaragoza,

2014, Navarra, "https://opendata.aemet.es/opendata/sh/e3a0d5f0"
2014, Ourense, "https://opendata.aemet.es/opendata/sh/e707e12d"
2014, Palencia, "https://opendata.aemet.es/opendata/sh/ec91001e"
2014, Las Palmas,
2014, Pontevedra,
2014, La Rioja,
2014, Salamanca,
2014, Santa Cruz de Tenerife,
2014, Segovia,
2014, Sevilla,
2014, Soria,
2014, Tarragona,
2014, Teruel, 
2014, Toledo,
2014, Valencia,
2014, Valladolid,
2014, Zamora,
2014, Zaragoza,

2015, Navarra, "https://opendata.aemet.es/opendata/sh/d2a64b51"
2015, Ourense, "https://opendata.aemet.es/opendata/sh/f918f86b"
2015, Palencia, "https://opendata.aemet.es/opendata/sh/eb1a5e66"
2015, Las Palmas,
2015, Pontevedra,
2015, La Rioja,
2015, Salamanca,
2015, Santa Cruz de Tenerife,
2015, Segovia,
2015, Sevilla,
2015, Soria,
2015, Tarragona,
2015, Teruel, 
2015, Toledo,
2015, Valencia,
2015, Valladolid,
2015, Zamora,
2015, Zaragoza,

2016, Navarra, "https://opendata.aemet.es/opendata/sh/57f0b98c"
2016, Ourense, "https://opendata.aemet.es/opendata/sh/52c8deab"
2016, Palencia, "https://opendata.aemet.es/opendata/sh/34cce6a1"
2016, Las Palmas,
2016, Pontevedra,
2016, La Rioja,
2016, Salamanca,
2016, Santa Cruz de Tenerife,
2016, Segovia,
2016, Sevilla,
2016, Soria,
2016, Tarragona,
2016, Teruel, 
2016, Toledo,
2016, Valencia,
2016, Valladolid,
2016, Zamora,
2016, Zaragoza,

2017, Navarra, "https://opendata.aemet.es/opendata/sh/6133c62f"
2017, Ourense, "https://opendata.aemet.es/opendata/sh/ce4cafcf"
2017, Palencia, "https://opendata.aemet.es/opendata/sh/90a3c4e0"
2017, Las Palmas,
2017, Pontevedra,
2017, La Rioja,
2017, Salamanca,
2017, Santa Cruz de Tenerife,
2017, Segovia,
2017, Sevilla,
2017, Soria,
2017, Tarragona,
2017, Teruel, 
2017, Toledo,
2017, Valencia,
2017, Valladolid,
2017, Zamora,
2017, Zaragoza,

2018, Navarra, "https://opendata.aemet.es/opendata/sh/8d6fa29a"
2018, Ourense, "https://opendata.aemet.es/opendata/sh/2792a1e3"
2018, Palencia, "https://opendata.aemet.es/opendata/sh/d7e5d9b2"
2018, Las Palmas,
2018, Pontevedra,
2018, La Rioja,
2018, Salamanca,
2018, Santa Cruz de Tenerife,
2018, Segovia,
2018, Sevilla,
2018, Soria,
2018, Tarragona,
2018, Teruel, 
2018, Toledo,
2018, Valencia,
2018, Valladolid,
2018, Zamora,
2018, Zaragoza,

2019, Navarra, "https://opendata.aemet.es/opendata/sh/9e4b0f8a"
2019, Ourense, "https://opendata.aemet.es/opendata/sh/907996e4"
2019, Palencia, "https://opendata.aemet.es/opendata/sh/9930daa9"
2019, Las Palmas,
2019, Pontevedra,
2019, La Rioja,
2019, Salamanca,
2019, Santa Cruz de Tenerife,
2019, Segovia,
2019, Sevilla,
2019, Soria,
2019, Tarragona,
2019, Teruel, 
2019, Toledo,
2019, Valencia,
2019, Valladolid,
2019, Zamora,
2019, Zaragoza,
